pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,sy_dist
Kepler-449 c,Kepler-449,Transit,2015,33.6727,2.764,nan,nan,5649.2,241.949
Kepler-450 b,Kepler-450,Transit,2015,28.4549,6.14,nan,nan,6197.2,455.982
Kepler-450 c,Kepler-450,Transit,2015,15.4131,2.62,nan,nan,6197.2,455.982
Kepler-450 d,Kepler-450,Transit,2015,7.5146,0.837,nan,nan,6197.2,455.982
Kepler-452 b,Kepler-452,Transit,2015,384.843,1.63,nan,265.0,5757.0,551.727
Kepler-453 b,Kepler-453,Transit,2015,240.503,6.204,16.0,nan,5527.0,442.846
Kepler-454 b,Kepler-454,Transit,2015,10.5738,2.37,5.4,916.0,5687.0,230.869
Kepler-454 c,Kepler-454,Radial Velocity,2015,524.19,nan,1433.406,nan,5687.0,230.869
Kepler-92 d,Kepler-92,Transit,2015,49.3568,2.067,nan,nan,5904.3,477.992
WASP-135 b,WASP-135,Transit,2015,1.4014,14.572,603.877,nan,5675.0,298.214
WASP-41 c,WASP-41,Radial Velocity,2015,421.0,nan,1010.699,241.0,5545.0,163.371
WASP-74 b,WASP-74,Transit,2015,2.1378,15.244,228.838,nan,5990.0,149.216
WASP-82 b,WASP-82,Transit,2015,2.7058,18.159,371.861,nan,6480.0,275.664
WASP-83 b,WASP-83,Transit,2015,4.9713,11.657,95.349,1120.0,5510.0,271.103
WASP-89 b,WASP-89,Transit,2015,3.3564,11.657,1875.197,1120.0,5130.0,290.946
Wolf 1061 b,Wolf 1061,Radial Velocity,2015,4.8869,nan,1.91,nan,3342.0,4.306
Wolf 1061 c,Wolf 1061,Radial Velocity,2015,17.8719,nan,3.41,nan,3342.0,4.306
Wolf 1061 d,Wolf 1061,Radial Velocity,2015,217.21,nan,7.7,nan,3342.0,4.306
alf Tau b,alf Tau,Radial Velocity,2015,628.96,nan,2056.36,nan,4055.0,20.433
psi1 Dra B b,psi1 Dra B,Radial Velocity,2015,3117.0,nan,486.28,nan,6212.0,22.719
BD+15 2375 b,BD+15 2375,Radial Velocity,2016,153.22,nan,337.218,nan,4649.0,768.045
BD+20 594 b,BD+20 594,Transit,2016,41.6855,2.578,22.248,nan,5766.0,179.461
EPIC 211822797 b,EPIC 211822797,Transit,2016,21.1702,1.92,nan,431.0,4057.0,186.197
EPIC 220674823 b,EPIC 220674823,Transit,2016,0.5713,1.606,7.54,2324.0,5578.0,244.59
EPIC 220674823 c,EPIC 220674823,Transit,2016,13.3406,2.712,7.9,838.0,5578.0,244.59
GJ 3998 b,GJ 3998,Radial Velocity,2016,2.6503,nan,2.5,nan,3726.0,18.146
GJ 3998 c,GJ 3998,Radial Velocity,2016,13.727,nan,6.82,nan,3726.0,18.146
GJ 536 b,GJ 536,Radial Velocity,2016,8.7087,nan,6.37,451.0,3641.0,10.409
HAT-P-65 b,HAT-P-65,Transit,2016,2.6054,18.058,176.077,1818.0,5872.0,738.519
HAT-P-66 b,HAT-P-66,Transit,2016,2.9721,17.822,248.861,1896.0,6002.0,935.456
HATS-11 b,HATS-11,Transit,2016,3.6192,18.03,nan,1596.0,6563.0,944.603
HATS-12 b,HATS-12,Transit,2016,3.1427,7.76,nan,1446.0,6357.0,746.138
HATS-15 b,HATS-15,Transit,2016,1.7475,12.386,689.691,1505.0,5311.0,1139.55
HATS-16 b,HATS-16,Transit,2016,2.6865,14.572,1039.304,1592.0,5738.0,757.044
HATS-17 b,HATS-17,Transit,2016,16.2546,8.709,425.257,814.0,5846.0,400.331
HATS-18 b,HATS-18,Transit,2016,0.8378,14.897,629.144,2069.5,5600.0,624.368
HATS-25 b,HATS-25,Transit,2016,4.2986,14.123,194.83,1277.0,5715.0,471.158
HATS-26 b,HATS-26,Transit,2016,3.3024,19.616,206.59,1918.0,6071.0,861.843
HATS-27 b,HATS-27,Transit,2016,4.637,16.814,168.45,1659.0,6438.0,816.988
HATS-28 b,HATS-28,Transit,2016,3.1811,13.384,213.582,1253.0,5498.0,535.383
HATS-29 b,HATS-29,Transit,2016,4.6059,14.022,207.543,1212.0,5670.0,353.891
HATS-30 b,HATS-30,Transit,2016,3.1744,13.171,224.388,1414.0,5943.0,342.14
HATS-31 b,HATS-31,Transit,2016,3.378,18.383,279.69,1823.0,6050.0,773.974
HATS-32 b,HATS-32,Transit,2016,2.8127,14.0,292.404,1437.0,5700.0,745.116
HATS-33 b,HATS-33,Transit,2016,2.5496,13.787,378.853,1429.0,5659.0,248.46
HATS-34 b,HATS-34,Transit,2016,2.1062,16.029,299.078,1445.0,5380.0,508.842
HATS-35 b,HATS-35,Transit,2016,1.821,16.41,388.388,2037.0,6300.0,514.555
HD 12484 b,HD 12484,Radial Velocity,2016,58.83,nan,947.133,nan,5920.0,48.337
HD 128356 b,HD 128356,Radial Velocity,2016,298.2,nan,282.869,nan,4875.0,26.155
HD 133131 A b,HD 133131 A,Radial Velocity,2016,649.0,nan,451.319,nan,5799.0,51.474
HD 133131 A c,HD 133131 A,Radial Velocity,2016,3568.0,nan,133.489,nan,5799.0,51.474
HD 133131 B b,HD 133131 B,Radial Velocity,2016,5769.0,nan,794.575,nan,5805.0,51.299
HD 143105 b,HD 143105,Radial Velocity,2016,2.1974,nan,384.574,nan,6380.0,46.779
HD 147873 b,HD 147873,Radial Velocity,2016,116.596,nan,1633.646,nan,5972.0,109.055
HD 147873 c,HD 147873,Radial Velocity,2016,491.54,nan,731.009,nan,5972.0,109.055
HD 164922 c,HD 164922,Radial Velocity,2016,75.74,nan,13.0,nan,5390.0,22.002
HD 165155 b,HD 165155,Radial Velocity,2016,434.5,nan,918.529,nan,5426.0,63.357
HD 220842 b,HD 220842,Radial Velocity,2016,218.47,nan,1010.699,nan,5960.0,64.65
HD 221585 b,HD 221585,Radial Velocity,2016,1173.0,nan,511.706,nan,5620.0,55.854
HD 222076 b,HD 222076,Radial Velocity,2016,871.0,nan,495.815,nan,4806.0,91.154
HD 3167 b,HD 3167,Transit,2016,0.9596,1.67,4.97,1774.0,5261.0,47.29
HD 3167 c,HD 3167,Transit,2016,29.8454,3.0,11.13,564.0,5261.0,47.29
HD 35759 b,HD 35759,Radial Velocity,2016,82.467,nan,1195.041,nan,6060.0,71.242
HD 42618 b,HD 42618,Radial Velocity,2016,149.61,nan,14.4,337.0,5727.0,24.336
HD 47366 b,HD 47366,Radial Velocity,2016,360.08,nan,661.719,nan,4866.0,84.355
HD 47366 c,HD 47366,Radial Velocity,2016,677.53,nan,483.735,nan,4866.0,84.355
HD 5583 b,HD 5583,Radial Velocity,2016,139.35,nan,1837.057,nan,4830.0,219.216
HD 59686 A b,HD 59686 A,Radial Velocity,2016,299.36,nan,2199.384,nan,4658.0,89.272
HD 68402 b,HD 68402,Radial Velocity,2016,1103.0,nan,975.738,nan,5950.0,78.429
HD 86950 b,HD 86950,Radial Velocity,2016,1270.0,nan,1144.188,nan,4805.0,209.839
HD 87646 b,HD 87646,Radial Velocity,2016,13.481,nan,3941.092,nan,5770.0,73.584
HD 9174 b,HD 9174,Radial Velocity,2016,1179.0,nan,352.791,nan,5577.0,81.489
HIP 109384 b,HIP 109384,Radial Velocity,2016,499.48,nan,495.815,nan,5180.0,58.958
HIP 109600 b,HIP 109600,Radial Velocity,2016,232.08,nan,851.784,nan,5530.0,66.336
HIP 41378 b,HIP 41378,Transit,2016,15.5719,2.419,9.06,970.7,6371.0,106.289
HIP 41378 c,HIP 41378,Transit,2016,31.7084,2.505,6.53,765.9,6371.0,106.289
HIP 41378 d,HIP 41378,Transit,2016,278.3618,3.54,4.6,367.0,6320.0,106.289
HIP 41378 e,HIP 41378,Transit,2016,369.0,4.92,12.0,335.0,6320.0,106.289
HIP 41378 f,HIP 41378,Transit,2016,542.0798,9.2,12.0,294.0,6320.0,106.289
HIP 65407 b,HIP 65407,Radial Velocity,2016,28.125,nan,136.031,nan,5460.0,61.78
HIP 65407 c,HIP 65407,Radial Velocity,2016,67.3,nan,249.179,nan,5460.0,61.78
HIP 74890 b,HIP 74890,Radial Velocity,2016,822.3,nan,762.792,nan,4850.0,78.656
K2-100 b,K2-100,Transit,2016,1.6739,3.88,21.8,1841.0,5945.0,188.959
K2-101 b,K2-101,Transit,2016,14.6762,2.0,nan,618.0,4927.0,188.33
K2-102 b,K2-102,Transit,2016,9.9156,1.3,nan,nan,4695.0,188.175
K2-104 b,K2-104,Transit,2016,1.9742,1.79,nan,798.0,3712.0,189.289
K2-19 d,K2-19,Transit,2016,2.5083,1.044,6.2,1258.0,5350.0,289.827
K2-24 b,K2-24,Transit,2016,20.8898,5.4,19.0,nan,5625.0,170.562
K2-24 c,K2-24,Transit,2016,42.3391,7.5,15.4,nan,5625.0,170.562
K2-26 b,K2-26,Transit,2016,14.5665,2.67,nan,430.0,3785.0,99.05
K2-27 b,K2-27,Transit,2016,6.7713,4.74,30.2,836.0,5246.0,249.645
K2-28 b,K2-28,Transit,2016,2.2605,2.32,nan,568.0,3214.0,62.997
K2-29 b,K2-29,Transit,2016,3.2588,13.339,232.016,1171.0,5358.0,178.475
K2-30 b,K2-30,Transit,2016,4.0985,11.646,184.024,1092.0,5425.0,333.042
K2-31 b,K2-31,Transit,2016,1.2578,11.882,563.83,nan,5280.0,110.527
K2-32 b,K2-32,Transit,2016,8.992,5.299,15.0,837.0,5271.0,157.682
K2-32 c,K2-32,Transit,2016,20.6609,3.134,8.1,634.0,5271.0,157.682
K2-32 d,K2-32,Transit,2016,31.717,3.484,6.7,550.0,5271.0,157.682
K2-33 b,K2-33,Transit,2016,5.4249,5.04,1175.971,nan,3540.0,139.268
K2-34 b,K2-34,Transit,2016,2.9956,13.75,nan,1687.0,6168.0,348.646
K2-35 b,K2-35,Transit,2016,2.4,1.32,nan,nan,4402.7,252.596
K2-35 c,K2-35,Transit,2016,5.6084,1.93,nan,nan,4402.7,252.596
K2-350 c,K2-350,Transit,2016,19.9919,2.74,nan,687.0,5789.0,489.368
K2-36 b,K2-36,Transit,2016,1.4226,1.43,4.3,1328.0,4916.0,109.749
K2-36 c,K2-36,Transit,2016,5.3409,3.2,7.9,854.0,4916.0,109.749
K2-37 b,K2-37,Transit,2016,4.4434,1.39,nan,949.0,5352.0,179.943
K2-37 c,K2-37,Transit,2016,6.4297,2.41,nan,839.0,5352.0,179.943
K2-37 d,K2-37,Transit,2016,14.0923,2.31,12.5,646.0,5352.0,179.943
K2-38 b,K2-38,Transit,2016,4.0159,1.54,7.3,1266.0,5731.0,192.69
K2-38 c,K2-38,Transit,2016,10.561,2.29,8.3,916.0,5731.0,192.69
K2-39 b,K2-39,Transit,2016,4.6054,6.277,28.605,nan,4881.0,307.47
K2-42 b,K2-42,Transit,2016,6.688,2.15,nan,nan,4613.0,396.913
K2-43 b,K2-43,Transit,2016,3.4711,4.51,nan,939.3,3840.6,182.536
K2-44 b,K2-44,Transit,2016,5.657,2.433,nan,nan,5912.0,476.703
K2-45 b,K2-45,Transit,2016,1.7293,6.71,nan,nan,4103.0,495.317
K2-46 b,K2-46,Transit,2016,19.1541,2.05,nan,nan,6256.0,449.237
K2-47 b,K2-47,Transit,2016,31.6372,1.89,nan,nan,5054.0,349.881
K2-48 b,K2-48,Transit,2016,20.5065,2.24,nan,nan,4899.0,313.764
K2-49 b,K2-49,Transit,2016,2.7706,1.93,nan,nan,4175.0,457.125
K2-50 b,K2-50,Transit,2016,8.7529,1.59,nan,nan,4326.0,257.443
K2-52 b,K2-52,Transit,2016,3.5351,18.0,nan,2004.0,7147.0,1038.41
K2-53 b,K2-53,Transit,2016,12.2077,2.6,nan,665.0,5263.0,138.018
K2-54 b,K2-54,Transit,2016,9.7833,2.612,nan,560.0,3990.0,174.955
K2-55 b,K2-55,Transit,2016,2.8493,4.43,44.0,900.0,4300.0,159.522
K2-57 b,K2-57,Transit,2016,9.0073,2.309,nan,635.8,4413.0,264.213
K2-58 b,K2-58,Transit,2016,7.0525,2.68,nan,nan,5413.0,181.746
K2-58 c,K2-58,Transit,2016,2.5373,1.62,nan,nan,5413.0,181.746
K2-58 d,K2-58,Transit,2016,22.8827,1.71,nan,nan,5413.0,181.746
K2-59 b,K2-59,Transit,2016,20.6921,2.41,nan,nan,5055.0,311.313
K2-59 c,K2-59,Transit,2016,11.2954,2.3,nan,nan,5055.0,311.313
K2-60 b,K2-60,Transit,2016,3.0026,7.656,135.396,1400.0,5500.0,491.87
K2-61 b,K2-61,Transit,2016,2.5734,1.92,nan,1325.0,5748.0,405.732
K2-62 b,K2-62,Transit,2016,6.672,2.02,nan,666.0,4455.0,112.467
K2-62 c,K2-62,Transit,2016,16.197,1.99,nan,495.0,4455.0,112.467
K2-63 b,K2-63,Transit,2016,20.257,3.22,nan,nan,6771.0,517.534
K2-63 c,K2-63,Transit,2016,25.4556,3.9,nan,nan,6771.0,517.534
K2-64 b,K2-64,Transit,2016,6.5304,2.07,nan,nan,5312.0,499.891
K2-65 b,K2-65,Transit,2016,12.6475,1.58,nan,nan,5213.0,nan
K2-66 b,K2-66,Transit,2016,5.0696,2.49,21.3,1372.0,5887.0,513.877
K2-68 b,K2-68,Transit,2016,8.0543,1.58,nan,nan,4746.0,168.652
K2-69 b,K2-69,Transit,2016,7.066,2.32,nan,nan,4127.0,180.697
K2-70 b,K2-70,Transit,2016,13.979,2.89,nan,nan,5622.0,232.964
K2-71 b,K2-71,Transit,2016,6.9854,2.15,nan,nan,4006.0,153.192
K2-72 b,K2-72,Transit,2016,5.5772,1.08,nan,nan,3360.5,66.432
K2-72 c,K2-72,Transit,2016,15.189,1.16,nan,nan,3360.5,66.432
K2-72 d,K2-72,Transit,2016,7.7602,1.01,nan,nan,3360.5,66.432
K2-72 e,K2-72,Transit,2016,24.1589,1.29,nan,nan,3360.5,66.432
K2-73 b,K2-73,Transit,2016,7.4956,2.58,9.2,968.0,5867.0,269.183
K2-74 b,K2-74,Transit,2016,19.5666,2.31,nan,nan,6060.0,377.822
K2-75 b,K2-75,Transit,2016,7.8142,2.67,nan,nan,5995.0,561.93
K2-75 c,K2-75,Transit,2016,18.311,2.77,nan,nan,5995.0,561.93
K2-77 b,K2-77,Transit,2016,8.2001,2.5,nan,806.0,5160.0,141.731
K2-79 b,K2-79,Transit,2016,10.995,4.15,5.9,1033.0,5897.0,256.011
K2-8 c,K2-8,Transit,2016,5.0642,2.41,nan,801.0,4870.0,403.513
K2-80 b,K2-80,Transit,2016,19.0918,2.01,nan,nan,5441.0,200.802
K2-80 c,K2-80,Transit,2016,5.605,1.47,nan,nan,5441.0,200.802
K2-81 b,K2-81,Transit,2016,6.1023,1.97,nan,nan,4674.1,252.318
K2-83 b,K2-83,Transit,2016,2.747,1.244,nan,nan,3910.0,125.529
K2-83 c,K2-83,Transit,2016,9.9977,1.483,nan,nan,3910.0,125.529
K2-84 b,K2-84,Transit,2016,6.4215,2.41,nan,nan,5652.0,284.876
K2-84 c,K2-84,Transit,2016,27.86,2.03,nan,nan,5652.0,284.876
K2-85 b,K2-85,Transit,2016,0.6845,1.4,3.2,1355.0,4232.0,97.218
K2-86 b,K2-86,Transit,2016,8.7768,1.96,nan,nan,5482.0,258.699
K2-87 b,K2-87,Transit,2016,9.7266,7.6,nan,979.0,5747.0,491.242
K2-88 b,K2-88,Transit,2016,4.6122,1.23,nan,nan,3537.0,110.561
K2-89 b,K2-89,Transit,2016,1.096,0.615,nan,nan,3691.0,86.039
K2-90 b,K2-90,Transit,2016,13.7333,2.6,nan,502.0,4484.0,134.188
K2-90 c,K2-90,Transit,2016,2.9007,1.3,nan,nan,4422.0,134.188
K2-91 b,K2-91,Transit,2016,1.4195,1.1,nan,nan,3622.0,62.578
K2-95 b,K2-95,Transit,2016,10.1346,3.31,nan,474.0,3566.0,179.854
K2-97 b,K2-97,Transit,2016,8.4071,13.451,174.488,1566.0,4673.0,878.43
K2-98 b,K2-98,Transit,2016,10.1367,5.066,34.008,1185.0,6260.0,518.625
K2-99 b,K2-99,Transit,2016,18.2478,11.882,276.511,1184.0,6069.0,519.229
KELT-10 b,KELT-10,Transit,2016,4.1663,15.681,215.807,1377.0,5948.0,188.404
KELT-14 b,KELT-14,Transit,2016,1.7101,19.537,408.094,1970.0,5720.0,250.121
KELT-15 b,KELT-15,Transit,2016,3.3294,19.504,416.357,nan,6003.0,324.683
KELT-17 b,KELT-17,Transit,2016,3.0802,17.094,416.357,2087.0,7454.0,226.5
KELT-4 A b,KELT-4 A,Transit,2016,2.9896,19.044,286.683,1823.0,6206.0,218.05
KIC 7917485 b,KIC 7917485,Pulsation Timing Variations,2016,840.0,nan,3750.394,nan,7067.0,1382.89
Kepler-1000 b,Kepler-1000,Transit,2016,120.0181,4.76,nan,nan,6453.0,1115.62
